code,province
00001,NB
00005,NB
00007,NB
00010,NB
00015,NB
00020,NB
00021,NB
00025,NB
00028,NB
00029,NB
00030,NB
00033,NB
00035,NB
00040,NB
00041,NB
00042,NB
00044,NB
00046,NB
00052,NB
00053,NB
00055,NB
00060,NB
00065,NB
00066,NB
00085,NB
00093,NB
00097,NB
00098,NB
00102,NB
00103,NB
00108,NB
00120,NB
00122,NB
00129,NB
00140,NB
00150,NB
00160,NB
00170,NB
00172,NB
00173,NB
00175,NB
00190,NB
00210,NB
00211,NS
00215,NS
00225,NS
00235,NS
00236,NS
00240,NS
00242,NS
00245,NS
00247,NS
00250,NS
00255,NS
00260,NS
00265,NS
00267,NS
00270,NS
00281,NS
00282,NS
00290,NS
00300,NS
00305,NS
00312,NS
00315,NS
00320,NS
00324,NS
00325,NS
00330,NS
00333,NS
00334,NS
00335,NS
00336,NS
00337,NS
00338,NS
00340,NS
00345,NS
00353,NS
00355,NS
00360,NS
00365,NS
00366,NS
00367,NS
00368,NS
00370,NS
00374,NS
00375,NS
00378,NS
00380,NS
00382,NS
00385,NS
00390,NS
00395,NS
00400,NS
00405,NS
00408,NS
00410,NS
00415,NS
00420,NS
00423,NS
00425,NS
00426,NS
00430,NS
00435,NS
00440,NS
00450,NS
00452,NS
00455,NS
00460,NS
00465,NS
00473,NS
00475,NS
00479,NS
00480,NS
00482,NS
00484,NS
00485,NS
00486,NS
00488,NS
00490,NS
00491,NS
00493,NS
00495,NS
00497,NS
00500,NS
00505,NS
00509,NS
00510,NS
00511,NS
00512,NS
00514,NS
00515,NS
00516,NS
00520,NS
00525,NS
00530,NS
00535,NS
00536,NS
00540,NS
00545,NS
00550,NS
00555,NS
00563,NS
00570,NS
00575,NS
00576,NS
00580,NS
00582,NS
00585,NS
00587,NS
00588,NS
00595,NS
00600,NS
00610,NS
00612,NS
00621,NS
00622,NS
00623,NS
00624,NS
00626,NS
00630,NS
00635,NS
00638,NS
00640,NS
00653,NS
00654,NS
00655,NS
00656,NS
00663,NL
00665,NL
00666,NL
00668,NL
00670,NL
00671,NL
00672,NL
00677,NL
00679,NL
00683,NL
00688,NL
00690,NL
00705,NL
00708,NL
00710,NL
00720,NL
00724,NL
00745,NL
00755,NL
00760,NL
00765,NL
00776,NL
00795,NL
00796,NL
00805,NL
00810,NL
00815,NL
00818,NL
00830,NL
00835,NL
00845,NL
00860,NL
00880,NL
00890,NL
00893,NL
00898,NL
00900,NL
00905,NL
00907,NL
00912,NL
00915,NL
00920,NL
00925,NL
00932,NL
00935,NL
00955,NL
00962,NL
00970,NL
00973,NL
00975,NL
00977,NL
00981,NL
00985,NL
00990,NL
01003,NL
01008,NL
01009,NL
01010,NL
01015,NL
01018,NL
01025,NL
01030,NL
01035,NL
01040,NL
01047,NL
01048,NL
01049,NL
01050,NL
01052,NL
01053,NL
01054,NL
01056,NL
01058,NL
01060,NL
01065,NL
01070,NL
01080,NL
01085,NL
01087,NL
01095,NL
01097,NL
01098,NL
01101,NL
01102,NL
01105,NL
01110,NL
01115,NL
01125,NL
01135,NL
01150,NS
01165,NL
01170,NL
01180,NL
01181,NL
01182,NL
01185,NL
01186,NL
01190,NL
01195,NL
01199,NL
01200,NL
01202,NL
01205,NL
01210,NL
01214,NL
01217,NL
01245,NL
01247,NL
01248,NL
01263,NL
01267,NL
01280,NL
01285,NL
01287,NL
01320,NL
01331,NL
01335,NL
01345,NL
01350,NL
01365,NL
01370,NL
01374,NL
01376,NL
01377,NL
01390,NL
01397,NL
01398,NL
01400,NL
01405,NL
01410,NL
01416,NL
01420,NL
01421,NL
01422,NL
01425,NL
01430,NL
01435,NL
01450,NL
01452,NL
01458,NL
01465,NL
01470,NL
01485,NL
01487,NL
01490,NL
01495,NL
01520,NS
01530,NS
01539,NS
01540,NS
01545,NS
01546,NS
01547,NS
01548,NS
01550,NS
01560,NS
01570,NS
01576,NS
01580,NS
01590,NS
01597,NS
01600,NS
01610,NS
01620,NS
01630,NS
01635,NS
01640,NS
01650,PE
01660,PE
01662,PE
01665,PE
01670,PE
01680,PE
01690,PE
01700,PE
01710,PE
01715,PE
01725,PE
01735,PE
01745,NS
01760,NS
01770,NS
01775,NS
01780,NS
01785,NB
01790,NB
01800,NB
01804,NB
01805,NB
01810,NB
01812,NB
01815,NB
01820,NB
01825,NB
01827,NB
01830,NB
01835,PE
01845,PE
01855,PE
01860,PE
01865,PE
01875,PE
01885,PE
01896,PE
01905,PE
01915,PE
01918,PE
01925,PE
01935,PE
01945,PE
01955,PE
01960,QC
01964,QC
01966,QC
01970,QC
01976,QC
01981,QC
01985,QC
01986,QC
01987,QC
01988,QC
01990,QC
02000,NB
02010,NB
02012,NB
02014,NB
02020,NB
02022,NB
02025,NB
02028,NB
02029,NB
02030,NB
02033,NB
02034,NB
02035,NB
02040,NB
02060,NB
02070,NB
02071,NB
02090,NB
02110,NB
02120,NB
02130,NB
02145,NB
02165,NB
02175,NB
02196,QC
02200,QC
02215,QC
02230,QC
02235,QC
02240,QC
02250,QC
02253,QC
02260,QC
02269,QC
02279,QC
02285,QC
02290,QC
02295,QC
02309,QC
02310,QC
02314,QC
02319,QC
02330,QC
02335,QC
02340,QC
02350,QC
02360,QC
02375,QC
02415,QC
02470,QC
02480,QC
02490,QC
02510,QC
02518,QC
02530,QC
02550,QC
02554,QC
02556,QC
02558,QC
02564,QC
02577,QC
02579,QC
02580,QC
02581,QC
02583,QC
02588,QC
02590,NL
02595,NL
02600,NL
02633,NL
02635,NL
02637,NL
02638,NL
02642,NL
02650,NL
02655,NL
02660,NL
02670,NL
02680,NL
02685,NL
02695,NL
02710,NL
02720,NL
02725,NL
02750,QC
02780,QC
02790,QC
02815,QC
02826,QC
02840,QC
02880,QC
02883,QC
02900,QC
02920,QC
02933,QC
02935,QC
02940,QC
02945,QC
02955,QC
02975,QC
02980,QC
02985,QC
02995,QC
03000,QC
03005,QC
03030,QC
03045,QC
03052,QC
03057,QC
03058,QC
03060,QC
03070,QC
03071,QC
03072,QC
03087,QC
03095,QC
03100,QC
03104,QC
03105,QC
03110,QC
03120,QC
03122,QC
03125,QC
03130,QC
03140,QC
03145,QC
03150,QC
03160,QC
03170,QC
03180,QC
03190,QC
03200,QC
03248,QC
03250,QC
03251,QC
03260,QC
03264,QC
03265,QC
03270,QC
03280,QC
03295,QC
03300,QC
03304,QC
03325,QC
03335,QC
03337,QC
03345,QC
03350,QC
03353,QC
03360,QC
03424,QC
03425,QC
03440,QC
03460,QC
03466,QC
03480,QC
03510,GRL_DEN
03575,GRL_DEN
03670,GRL_DEN
03671,GRL_DEN
03690,GRL_DEN
03710,GRL_DEN
03735,GRL_DEN
03755,GRL_DEN
03765,NU
03780,NU
03785,NU
03790,NU
03838,NU
03840,NU
03902,NU
03916,NU
03940,NU
03960,NU
03970,NU
03980,NU
03995,NU
04029,NU
04031,NU
04040,NU
04045,NU
04070,NU
04100,NU
04120,NU
04135,NU
04140,NU
04160,NU
04170,NU
04205,NU
04215,NU
04245,NU
04255,NU
04265,NU
04275,QC
04279,QC
04294,QC
04295,QC
04296,QC
04297,QC
04298,QC
04315,QC
04325,QC
04335,NU
04340,QC
04345,QC
04379,QC
04380,QC
04400,QC
04415,QC
04425,QC
04435,QC
04460,QC
04470,QC
04480,NU
04490,NU
04500,NU
04538,QC
04548,NU
04550,QC
04575,QC
04597,NU
04600,NU
04604,NU
04610,NU
04620,NU
04628,NU
04645,QC
04648,NU
04655,NU
04662,QC
04680,QC
04681,NU
04688,NU
04710,QC
04720,NU
04730,NU
04740,QC
04780,ON
04790,ON
04800,ON
04810,ON
04840,ON
04880,NU
04920,ON
04980,MB
05010,MB
05040,NU
05055,NU
05070,NU
05090,NU
05100,NU
05140,NU
05141,NU
05159,NU
05160,NU
05161,NU
05180,NU
05190,NU
05193,NU
05195,NU
05200,NU
05275,NU
05295,NU
05310,NU
05330,NU
05350,NU
05358,NU
05430,NU
05490,NU
05500,NU
05510,NU
05560,NU
05600,NU
05615,NU
05643,NT
05645,NU
05650,NT
05790,NU
05795,NU
05800,NU
05860,NU
05865,NU
05905,NU
05906,NU
05912,NU
05917,NU
05918,NU
05930,NU
05935,NU
05940,NU
05948,NU
05960,NU
05970,NU
05975,NU
05976,NU
05978,NU
05985,NU
05990,NU
05992,NU
05998,NU
06100,NU
06110,NU
06140,NU
06144,NU
06150,NU
06160,NU
06170,NU
06210,NU
06213,NU
06225,NU
06230,NU
06240,NU
06250,NU
06255,NU
06284,NU
06285,NU
06290,NU
06310,NU
06338,NU
06340,NT
06350,NT
06360,NT
06367,NT
06380,NT
06424,NT
06443,NT
06457,NT
06472,NT
06476,NT
06485,NT
06495,YT
06497,NT
06505,YT
06515,YT
06525,YT
06560,NU
06570,NU
06580,NU
06640,NU
06660,NU
06670,NU
06680,NU
06704,NU
06730,NU
06735,NU
06758,NU
06765,NU
06780,NU
06787,NU
06910,NU
06955,NU
07010,BC
07013,BC
07020,BC
07024,BC
07030,BC
07080,BC
07082,BC
07109,BC
07110,BC
07115,BC
07120,BC
07121,BC
07122,BC
07123,BC
07124,BC
07125,BC
07130,BC
07140,BC
07255,BC
07260,BC
07270,BC
07277,BC
07280,BC
07284,BC
07310,BC
07315,BC
07330,BC
07345,BC
07350,BC
07360,BC
07370,BC
07407,BC
07414,BC
07420,BC
07435,BC
07437,BC
07439,BC
07445,BC
07450,BC
07455,BC
07460,BC
07471,BC
07480,BC
07510,BC
07515,BC
07525,BC
07528,BC
07532,BC
07535,BC
07542,BC
07550,BC
07577,BC
07579,BC
07590,BC
07592,BC
07594,BC
07607,BC
07609,BC
07610,BC
07654,BC
07707,BC
07710,BC
07724,BC
07735,BC
07755,BC
07765,BC
07774,BC
07780,BC
07786,BC
07795,BC
07803,BC
07808,BC
07811,BC
07820,BC
07824,BC
07830,BC
07836,BC
07837,BC
07842,BC
07843,BC
07847,BC
07852,BC
07860,BC
07865,BC
07868,BC
07875,BC
07880,BC
07885,BC
07892,BC
07895,BC
07913,BC
07917,BC
07930,BC
07935,BC
07938,BC
07940,BC
07953,BC
07955,BC
07965,BC
07982,BC
07985,BC
07990,BC
07993,BC
08006,BC
08008,BC
08015,BC
08025,BC
08035,BC
08037,BC
08038,BC
08045,BC
08050,BC
08055,BC
08060,BC
08065,BC
08069,BC
08074,BC
08079,BC
08082,BC
08087,BC
08095,BC
08105,BC
08110,BC
08120,BC
08135,BC
08142,BC
08145,BC
08150,BC
08155,BC
08162,BC
08180,BC
08195,BC
08210,BC
08215,BC
08233,BC
08245,BC
08250,BC
08258,BC
08270,BC
08280,BC
08290,BC
08310,BC
08311,BC
08313,BC
08318,BC
08325,BC
08340,BC
08347,BC
08348,BC
08364,BC
08371,BC
08379,BC
08384,BC
08394,BC
08408,BC
08416,BC
08426,BC
08438,BC
08440,BC
08458,BC
08464,BC
08470,BC
08476,BC
08482,BC
08488,BC
08525,BC
08545,BC
08556,BC
08558,BC
08559,BC
08565,BC
08575,BC
08585,BC
08588,BC
08595,BC
08615,BC
08623,BC
08626,BC
08630,BC
08632,BC
08634,BC
08637,BC
08645,BC
08650,BC
08664,BC
08665,BC
08670,BC
08710,BC
08714,BC
08715,BC
08720,BC
08735,BC
08736,BC
08750,BC
08751,BC
08754,BC
08755,BC
08756,BC
08765,BC
08790,BC
08805,BC
08810,BC
08812,BC
08814,BC
08830,BC
08840,BC
08860,BC
08863,BC
08865,BC
08866,BC
08870,BC
08906,BC
08909,BC
08912,BC
08917,BC
08922,BC
08932,BC
08937,BC
08941,BC
08952,BC
08958,BC
08962,BC
08970,BC
08976,BC
08978,BC
08981,BC
08996,BC
08998,BC
09005,BC
09010,BC
09020,BC
09035,BC
09051,BC
09052,BC
09053,BC
09056,BC
09058,BC
09060,BC
09063,BC
09067,BC
09077,BC
09078,BC
09080,BC
09082,BC
09105,BC
09115,BC
09130,BC
09140,BC
09150,BC
09163,BC
09165,BC
09180,BC
09195,BC
09220,BC
09227,BC
09230,BC
09232,BC
09242,BC
09250,BC
09260,BC
09266,BC
09275,BC
09285,BC
09305,BC
09306,BC
09309,BC
09310,BC
09312,BC
09315,BC
09325,BC
09329,BC
09333,BC
09338,BC
09339,BC
09340,BC
09341,BC
09342,BC
09343,BC
09344,BC
09345,BC
09346,BC
09348,BC
09350,BC
09354,BC
09360,BC
09390,BC
09406,BC
09414,BC
09418,BC
09422,BC
09425,BC
09435,BC
09443,BC
09448,BC
09475,BC
09502,BC
09511,BC
09512,BC
09570,BC
09581,BC
09582,BC
09583,BC
09585,BC
09605,BC
09625,BC
09627,BC
09635,BC
09650,BC
09667,BC
09671,BC
09708,BC
09710,BC
09713,BC
09717,BC
09724,BC
09746,BC
09753,BC
09765,BC
09775,BC
09781,BC
09790,BC
09795,BC
09808,BC
09850,BC
09860,BC
09881,BC
09910,BC
09920,BC
09927,BC
09930,BC
09940,BC
09958,BC
09961,BC
09963,BC
09964,BC
